Filename,Social_Caption,Author,Text,Theme,Quote_ID
endure_standard_quote24.png,"""Failure is simply the opportunity to begin again, this time more intelligently."" — Henry Ford #Endure #Resilience #Stoicism","Henry Ford","Failure is simply the opportunity to begin again, this time more intelligently.",standard,24
endure_standard_quote13.png,"""I have not failed. I've just found 10,000 ways that won't work."" — Thomas Edison #Endure #Resilience #Stoicism","Thomas Edison","I have not failed. I've just found 10,000 ways that won't work.",standard,13
endure_standard_quote32.png,"""Mistakes are a fact of life. It is the response to error that counts."" — Nikki Giovanni #Endure #Resilience #Stoicism","Nikki Giovanni","Mistakes are a fact of life. It is the response to error that counts.",standard,32
endure_standard_quote20.png,"""Every adversity, every failure, every heartache carries with it the seed of an equal or greater benefit."" — Napoleon Hill #Endure #Resilience #Stoicism","Napoleon Hill","Every adversity, every failure, every heartache carries with it the seed of an equal or greater benefit.",standard,20
endure_standard_quote11.png,"""Regret is the past crippling you in the present."" — Anonymous #Endure #Resilience #Stoicism","Anonymous","Regret is the past crippling you in the present.",standard,11
endure_standard_quote8.png,"""Ever tried. Ever failed. No matter. Try Again. Fail again. Fail better."" — Samuel Beckett #Endure #Resilience #Stoicism","Samuel Beckett","Ever tried. Ever failed. No matter. Try Again. Fail again. Fail better.",standard,8
endure_standard_quote16.png,"""Success is stumbling from failure to failure with no loss of enthusiasm."" — Winston Churchill #Endure #Resilience #Stoicism","Winston Churchill","Success is stumbling from failure to failure with no loss of enthusiasm.",standard,16
endure_standard_quote26.png,"""Suffering is the positive element in this world, indeed it is the only link between this world and the positive."" — Franz Kafka #Endure #Resilience #Stoicism","Franz Kafka","Suffering is the positive element in this world, indeed it is the only link between this world and the positive.",standard,26
endure_standard_quote37.png,"""The soul would have no rainbow had the eyes no tears."" — John Vance Cheney #Endure #Resilience #Stoicism","John Vance Cheney","The soul would have no rainbow had the eyes no tears.",standard,37
endure_standard_quote19.png,"""Rock bottom became the solid foundation on which I rebuilt my life."" — J.K. Rowling #Endure #Resilience #Stoicism","J.K. Rowling","Rock bottom became the solid foundation on which I rebuilt my life.",standard,19
endure_standard_quote15.png,"""Letting go means to come to the realization that some people are a part of your history, but not a part of your destiny."" — Steve Maraboli #Endure #Resilience #Stoicism","Steve Maraboli","Letting go means to come to the realization that some people are a part of your history, but not a part of your destiny.",standard,15
endure_standard_quote6.png,"""Mistakes are the portals of discovery."" — James Joyce #Endure #Resilience #Stoicism","James Joyce","Mistakes are the portals of discovery.",standard,6
endure_standard_quote31.png,"""Turn your wounds into wisdom."" — Oprah Winfrey #Endure #Resilience #Stoicism","Oprah Winfrey","Turn your wounds into wisdom.",standard,31
endure_standard_quote39.png,"""Failure is the condiment that gives success its flavor."" — Truman Capote #Endure #Resilience #Stoicism","Truman Capote","Failure is the condiment that gives success its flavor.",standard,39
endure_standard_quote42.png,"""A man is not old until regrets take the place of dreams."" — John Barrymore #Endure #Resilience #Stoicism","John Barrymore","A man is not old until regrets take the place of dreams.",standard,42
endure_standard_quote50.png,"""Never regret. If it's good, it's wonderful. If it's bad, it's experience."" — Victoria Holt #Endure #Resilience #Stoicism","Victoria Holt","Never regret. If it's good, it's wonderful. If it's bad, it's experience.",standard,50
endure_standard_quote46.png,"""I did then what I knew how to do. Now that I know better, I do better."" — Maya Angelou #Endure #Resilience #Stoicism","Maya Angelou","I did then what I knew how to do. Now that I know better, I do better.",standard,46
endure_standard_quote14.png,"""The only way to get rid of a temptation is to yield to it."" — Oscar Wilde #Endure #Resilience #Stoicism","Oscar Wilde","The only way to get rid of a temptation is to yield to it.",standard,14
endure_standard_quote33.png,"""The only man who never makes a mistake is the man who never does anything."" — Theodore Roosevelt #Endure #Resilience #Stoicism","Theodore Roosevelt","The only man who never makes a mistake is the man who never does anything.",standard,33
endure_standard_quote45.png,"""Heartbreak is life educating us."" — George Bernard Shaw #Endure #Resilience #Stoicism","George Bernard Shaw","Heartbreak is life educating us.",standard,45
endure_standard_quote12.png,"""It's not what happens to you, but how you react to it that matters."" — Epictetus #Endure #Resilience #Stoicism","Epictetus","It's not what happens to you, but how you react to it that matters.",standard,12
endure_standard_quote49.png,"""The pain of yesterday is the strength of today."" — Paulo Coelho #Endure #Resilience #Stoicism","Paulo Coelho","The pain of yesterday is the strength of today.",standard,49
endure_standard_quote30.png,"""I am not what happened to me, I am what I choose to become."" — Carl Jung #Endure #Resilience #Stoicism","Carl Jung","I am not what happened to me, I am what I choose to become.",standard,30
endure_standard_quote28.png,"""Regret is an appalling waste of energy; you can't build on it; it's only good for wallowing in."" — Katherine Mansfield #Endure #Resilience #Stoicism","Katherine Mansfield","Regret is an appalling waste of energy; you can't build on it; it's only good for wallowing in.",standard,28
endure_standard_quote27.png,"""You may encounter many defeats, but you must not be defeated."" — Maya Angelou #Endure #Resilience #Stoicism","Maya Angelou","You may encounter many defeats, but you must not be defeated.",standard,27
endure_standard_quote47.png,"""Regret is mostly caused by not having done anything."" — Charles Bukowski #Endure #Resilience #Stoicism","Charles Bukowski","Regret is mostly caused by not having done anything.",standard,47
endure_standard_quote40.png,"""We all make mistakes, have struggles, and even regret things in our past. But you are not your mistakes, you are not your struggles, and you are here NOW with the power to shape your day and your future."" — Steve Maraboli #Endure #Resilience #Stoicism","Steve Maraboli","We all make mistakes, have struggles, and even regret things in our past. But you are not your mistakes, you are not your struggles, and you are here NOW with the power to shape your day and your future.",standard,40
endure_standard_quote17.png,"""The wound is the place where the Light enters you."" — Rumi #Endure #Resilience #Stoicism","Rumi","The wound is the place where the Light enters you.",standard,17
endure_standard_quote2.png,"""Regret for the things we did can be tempered by time; it is regret for the things we did not do that is inconsolable."" — Sydney J. Harris #Endure #Resilience #Stoicism","Sydney J. Harris","Regret for the things we did can be tempered by time; it is regret for the things we did not do that is inconsolable.",standard,2
endure_standard_quote43.png,"""The bitterest tears shed over graves are for words left unsaid and deeds left undone."" — Harriet Beecher Stowe #Endure #Resilience #Stoicism","Harriet Beecher Stowe","The bitterest tears shed over graves are for words left unsaid and deeds left undone.",standard,43
endure_standard_quote38.png,"""It's better to have loved and lost than never to have loved at all."" — Alfred Lord Tennyson #Endure #Resilience #Stoicism","Alfred Lord Tennyson","It's better to have loved and lost than never to have loved at all.",standard,38
endure_standard_quote21.png,"""To err is human; to forgive, divine."" — Alexander Pope #Endure #Resilience #Stoicism","Alexander Pope","To err is human; to forgive, divine.",standard,21
endure_standard_quote5.png,"""The heart was made to be broken."" — Oscar Wilde #Endure #Resilience #Stoicism","Oscar Wilde","The heart was made to be broken.",standard,5
endure_standard_quote29.png,"""The past is a place of reference, not a place of residence."" — Willie Jolley #Endure #Resilience #Stoicism","Willie Jolley","The past is a place of reference, not a place of residence.",standard,29
endure_standard_quote10.png,"""Pain is inevitable. Suffering is optional."" — Haruki Murakami #Endure #Resilience #Stoicism","Haruki Murakami","Pain is inevitable. Suffering is optional.",standard,10
endure_standard_quote23.png,"""Heartbreak could be lived with if it weren't accompanied by regret."" — Laura Kasischke #Endure #Resilience #Stoicism","Laura Kasischke","Heartbreak could be lived with if it weren't accompanied by regret.",standard,23
endure_standard_quote9.png,"""The greatest glory in living lies not in never falling, but in rising every time we fall."" — Nelson Mandela #Endure #Resilience #Stoicism","Nelson Mandela","The greatest glory in living lies not in never falling, but in rising every time we fall.",standard,9
endure_standard_quote25.png,"""What we regret most are lost opportunities."" — Anonymous #Endure #Resilience #Stoicism","Anonymous","What we regret most are lost opportunities.",standard,25
